epoch,train_loss,train_acc1,val_loss,val_acc1,val_acc5
1,1.614128,22.4,1.410077,45.2,100.0
2,1.318009,47.6,1.325323,45.2,100.0
3,1.088989,65.6,1.046935,68.0,100.0
4,0.930961,74.8,0.980576,64.4,100.0
5,0.817256,76.4,0.892843,67.6,100.0
6,0.747463,78.0,0.883348,69.2,100.0
7,0.67906,80.8,0.852697,72.4,100.0
8,0.642512,82.4,0.819218,73.2,100.0
9,0.602763,84.0,0.80165,70.8,100.0
10,0.564807,86.0,0.781808,74.8,100.0
11,0.525559,89.2,0.772445,75.6,100.0
12,0.553835,83.2,0.762657,72.4,100.0
13,0.501491,87.2,0.753832,75.2,100.0
14,0.501105,87.6,0.75001,72.0,100.0
15,0.437724,90.4,0.744507,74.8,100.0
